title,authors,year,journal,citations,abstract,url
Function–behavior–structure paths and their role in analogy-based design,L Qian,,cambridge.org,529,"In many creative design processes, cross-domain knowledge is required to inspire the newdesign result. Thus, in knowledge-based design, how we represent the cross-domain …",https://www.cambridge.org/core/journals/ai-edam/article/functionbehaviorstructure-paths-and-their-role-in-analogybased-design/DA7A02AD92AFD101FB8323E4D18FF6F3
A step beyond to overcome design fixation: a design-by-analogy approach,DP Moreno,,Springer,72,"Abstract Design fixation is a phenomenon that negatively impacts design outcomes,especially when it occurs during the ideation stage of a design process. This study expands …",https://link.springer.com/chapter/10.1007/978-3-319-14956-1_34
Discovering structure in design databases through functional and surface based mapping,K Fu,,asmedigitalcollection.asme.org,136,"This work presents a methodology for discovering structure in design repository databases,toward the ultimate goal of stimulating designers through design-by-analogy. Using a …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/135/3/031006/375338
[BOOK][B]Design-by-analogy and representation in innovative engineering concept generation,JS Linsey- 2007,,search.proquest.com,147,"Design-by-analogy is an important tool for engineers seeking innovative solutions to designproblems. A new method for systematically guiding designers in seeking analogies, the …",https://search.proquest.com/openview/3354df7a9ff418b6cd1df2c6098313e2/1?pq-origsite=gscholar&cbl=18750
AskNatureNet: A divergent thinking tool based on bio-inspired design knowledge,L Chen,,Elsevier,13,"Divergent thinking is a process in design by exploring multiple possible solutions, is crucialin the early stages of design to break fixation and expand the design ideation. Design-by …",https://www.sciencedirect.com/science/article/pii/S1474034624002416
Evaluating the impact of Idea-Inspire 4.0 on analogical transfer of concepts,L Siddharth,,cambridge.org,61,"The biological domain has the potential to offer a rich source of analogies to solveengineering design problems. However, due to the complexity embedded in biological …",https://www.cambridge.org/core/journals/ai-edam/article/evaluating-the-impact-of-ideainspire-40-on-analogical-transfer-of-concepts/D71ADA00167259963C38C3C373903112
DesignFusion: Integrating generative models for conceptual design enrichment,L Chen,,asmedigitalcollection.asme.org,19,"Conceptual design is a pivotal phase of product design and development, encompassinguser requirement exploration and informed solution generation. Recent generative models …",https://asmedigitalcollection.asme.org/mechanicaldesign/article/146/11/111703/1199814
Modality and representation in analogy,JS Linsey,,cambridge.org,258,"Design by analogy is a powerful part of the design process across the wide variety ofmodalities used by designers such as linguistic descriptions, sketches, and diagrams. We …",https://www.cambridge.org/core/journals/ai-edam/article/modality-and-representation-in-analogy/F567723948DE2E845EDF1E048C87D9EF
Identifying candidates for design-by-analogy,PA Verhaegen,,Elsevier,114,"Although supported by extensive anecdotal evidence, only recently design-by-analogy hasbeen proven to occur often in problem solving and idea generation. However, the …",https://www.sciencedirect.com/science/article/pii/S016636151000179X
Design heuristics for additive manufacturing,A Blösch-Paidosh,,designsociety.org,61,"The potential benefits of additive manufacturing (AM) have been expounded upon by manyin academic, industry, media, and policy circles. These potential benefits include functional …",https://www.designsociety.org/publication/39731/Design+heuristics+for+additive+manufacturing
A computational tool for creative idea generation based on analogical reasoning and ontology,J Han,,cambridge.org,100,Analogy is a core cognition process used to produce inferences as well as new ideas usingprevious knowledge and experience. Ontology is a formal representation of a set of domain …,https://www.cambridge.org/core/journals/ai-edam/article/computational-tool-for-creative-idea-generation-based-on-analogical-reasoning-and-ontology/70D598044124A0AEBBA73386D99F203F
Mining and representing the concept space of existing ideas for directed ideation,Y He,,asmedigitalcollection.asme.org,55,"Abstract Design innovation projects often generate large numbers of design ideas fromdesigners, users, and, increasingly, the crowd over the Internet. Such idea data are often …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/141/12/121101/956262
Adaptive inspirational design stimuli: using design output to computationally search for stimuli that impact concept generation,K Goucher-Lambert,,asmedigitalcollection.asme.org,65,"Abstract Design activity can be supported using inspirational stimuli (eg, analogies, patents)by helping designers overcome impasses or in generating solutions with more positive …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/142/9/091401/1072734
Creative analogy use in a heterogeneous design team: The pervasive role of background domain knowledge,BT Christensen,,Elsevier,65,Highlights•Unique knowledge backgrounds fuel analogy-based creativity in team designcontexts.•Analogies that match educational backgrounds are highly accessible.•Analogies …,https://www.sciencedirect.com/science/article/pii/S0142694X16300424
A design support system using analogy,L Qian,,Springer,76,Analogy is one of the useful tools for creative designs. Most design by analogy systems usewithin-domain analogies to adapt an old design to a new situation. As design from a …,https://link.springer.com/chapter/10.1007/978-94-011-2787-5_40
AI for design: Virtual design assistant,SG Kim,,Elsevier,49,"Engineering faces many wicked problems: irreducibly interdisciplinary with multiplecompeting objectives, and of such large scale and complexity that will require processes to …",https://www.sciencedirect.com/science/article/pii/S0007850619300289
Deep generative models in engineering design: A review,L Regenwetter,,asmedigitalcollection.asme.org,298,Automated design synthesis has the potential to revolutionize the modern engineeringdesign process and improve access to highly optimized and customized products across …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/144/7/071704/1136676
"Integrating AIGC with design: dependence, application, and evolution-a systematic literature review",J Wu,,Taylor & Francis,19,"The thriving development of AIGC has catalyzed significant transformations in the designindustry, garnering increased scholarly attention to the intersection of these two fields …",https://www.tandfonline.com/doi/abs/10.1080/09544828.2024.2362587
Biologically inspired design concept generation using generative pre-trained transformers,Q Zhu,,asmedigitalcollection.asme.org,85,Biological systems in nature have evolved for millions of years to adapt and survive theenvironment. Many features they developed can be inspirational and beneficial for solving …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/145/4/041409/1155856
Design heuristics for additive manufacturing validated through a user study,A Blösch-Paidosh,,asmedigitalcollection.asme.org,123,"Additive manufacturing (AM) has unique capabilities when compared to traditionalmanufacturing, such as shape, hierarchical, functional, and material complexity, a fact that …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/141/4/041101/366976
