title,url,authors,year,journal,abstract,citations
Case-based reasoningintegrations,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/1610,C Marling,2002,ojs.aaai.org,"… ■ This article presents an overview and survey of current work incase-basedreasoning(…with otherreasoningmodalities and computing paradigms, especially rule-basedreasoning(…",113
A tutorial oncase based reasoning,https://link.springer.com/chapter/10.1007/978-1-4471-0687-6_1,J Main,2001,Springer,"… A short definition ofcasebasedreasoning(CBR)is that it is a … Generally,l acasebasedreasoner will be presented with a … I This tutorial describes an averagecasebasedreasoning…",114
Case-based reasoningis a methodology not a technology,https://www.sciencedirect.com/science/article/pii/S0950705199000209,I Watson- Knowledge-based systems,1999,Elsevier,"…case-basedreasoningis an artificial intelligence (AI) technology like rule-basedreasoning,… By describing four applications ofcase-basedreasoning(CBR), that variously use: nearest …",763
[BOOK][B]Issues and applications ofcase-based reasoningto design,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781315805894&type=googlepdf,ML Maher,2014,api.taylorfrancis.com,"…Case-basedreasoningsystems exploit the representation of situated …case-basedreasoningsystems for design, a significant case library. The case library, as is typical ofcase-based…",204
Explanation-drivencase-based reasoning,https://link.springer.com/chapter/10.1007/3-540-58330-0_93,A Aamodt- European Workshop onCase-Based Reasoning,1993,Springer,"… ofcase-basedreasoning. General domain knowledge may be combined withcase-basedreasoning… within acase-basedreasoningprocess, and presents a vertical integration method. …",215
Fromcase-based reasoningto traces-basedreasoning,https://www.sciencedirect.com/science/article/pii/S1367578806000459,A Mille- Annual Reviews in Control,2006,Elsevier,"…Case-BasedReasoningis an efficient AI paradigm for problem solving. Its robustnesscomes from its ability to learn from experience. Despite its big success, it suffers from the “frame …",112
Case-based reasoningin the health sciences: What's next?,https://www.sciencedirect.com/science/article/pii/S0933365705001247,I Bichindaritz,2006,Elsevier,"… This paper presents current work incase-basedreasoning(CBR) in the health sciences,describes current trends and issues, and projects future directions for work in this field. …",284
Problem-based learning meetscase-based reasoning,https://repository.isls.org/handle/1/4085,JL Kolodner,1996,repository.isls.org,"… ofreasoningactivities, especially of knowledge access, access to old experiences (cases),and use of old experiences inreasoning, … of its parallels tocase-basedreasoning. Problem-…",153
[BOOK][B]Case-based reasoningtechnology: from foundations to applications,https://books.google.com/books?hl=en&lr=&id=orGoCAAAQBAJ&oi=fnd&pg=PA1&dq=case-based+reasoning&ots=vqa3IwyeH6&sig=w_qQsALbWzjrz88vHgbPkSqFY68,M Lenz,2003,books.google.com,… The purpose of this introduction is to provide the basic concepts ofCaseBasedReasoning(CBR) underlying the chapters in this book in order to provide a unified terminology. It is not …,465
[BOOK][B]Foundations of softcase-based reasoning,https://books.google.com/books?hl=en&lr=&id=LqZkJ_snUiYC&oi=fnd&pg=PR7&dq=case-based+reasoning&ots=msVKGByeRQ&sig=l_U81rbo4UroODwzPatyvdC_Tok,SK Pal,2004,books.google.com,"…case-basedreasoningand is likely to be viewed in retrospect as a milestone in its field.Case-basedreasoning… relating to knowledge representation,reasoning, and learning from …",717
Case-based reasoning,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/casebased-reasoning/18D763FE9DA1C1CB0DC08196D05FB707,DB Leake- The knowledge engineering review,1994,cambridge.org,Case-basedreasoning(CBR) systems reason from experience: they solve new problems byretrieving relevant prior cases and adapting them to fit new situations. In 1988 the first case-…,75
Conversationalcase-based reasoning,https://link.springer.com/article/10.1023/A:1008346807097,DW Aha,2001,Springer,"… This paper summarizes our recent research on conversationalcase-basedreasoning(CCBR),an interactive form ofcase-basedreasoningthat supports mixedinitiative case retrieval. …",305
[BOOK][B]Developing industrialcase-based reasoningapplications: The INRECA methodology,https://books.google.com/books?hl=en&lr=&id=gC933hRpztMC&oi=fnd&pg=PA1&dq=case-based+reasoning&ots=Eq8jokTEu7&sig=HTI4J3VtMhNJOHboASALNa595wc,R Bergmann,2003,books.google.com,… Let me start by stating:case-basedreasoningis not evil. This … been guilty of associating“case-basedreasoning” (CBR) with … promising book aboutcase-basedreasoningand learn how …,383
Case-based reasoningin design,https://ieeexplore.ieee.org/abstract/document/585102/,ML Maher,1997,ieeexplore.ieee.org,… tions that have implementedcase-basedreasoning and shows … those who intend to usecase-baseddesign as a computer support … themes in the implementation ofcase-baseddesign: …,307
"Case-based reasoning: Foundational issues, methodological variations, and system approaches",https://journals.sagepub.com/doi/abs/10.3233/AIC-1994-7104,A Aamodt,1994,journals.sagepub.com,"…case-basedreasoningin Europe as well. This paper gives an overview of the foundationalissues related tocasebasedreasoning, … ofcase-basedmethods as one type ofreasoningand …",9868
Explanation incase-based reasoning–perspectives and goals,https://link.springer.com/article/10.1007/s10462-005-4607-7,F Sørmo,2005,Springer,… The research on explanation within expert systems provides a focus for a situationalcontext that is similar to what we find with mostcase-basedreasoningsystems. Although the …,338
Continuouscase-based reasoning,https://www.sciencedirect.com/science/article/pii/S0004370296000379,A Ram,1997,Elsevier,"… to perform high-levelreasoningin problem domains that can … method for continuouscase-basedreasoning, and discusses … ofcase-basedreasoningissues addressed by this …",197
An introduction tocase-based reasoning,https://link.springer.com/content/pdf/10.1007/3-540-60654-8_18.pdf,I Watson- UK Workshop onCase-Based Reasoning,1995,Springer,"… Acase-basedreasoner solves new problems by adapting solutions that were used to solveold problems [Riesbeck & Schank, 89] At its most simplecase-basedreasoningis based on …",108
Educational implications of analogy: A view fromcase-based reasoning.,https://psycnet.apa.org/record/1997-02239-007,JL Kolodner- American psychologist,1997,psycnet.apa.org,"… In addition, each scenario is guided by principles stemming from the study of analogical andcase-basedreasoning(CBR; cf. Gentner & Markman, 1997, this issue; Holyoak & Thagard, …",678
Improving Rule-Based Systems ThroughCase-Based Reasoning.,https://www.researchgate.net/profile/Paul-Rosenbloom/publication/2679939_Improving_Rule-Based_Systems_through_Case-Based_Reasoning/links/0912f511690b5c8cb0000000/Improving-Rule-Based-Systems-through-Case-Based-Reasoning.pdf,AR Golding,1991,researchgate.net,"… A novel architecture is presented for combining rule-based andcase-basedreasoning. The… interaction in the system, in that improving the rules speeds up thecase-basedcomponent. …",241
Representation incase-based reasoning,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/representation-in-casebased-reasoning/CA57DB3D84A5663B94F0FF6A3814B3F4,R Bergmann,2005,cambridge.org,"A case incase-basedreasoningis a contextualized piece of experience, which can berepresented in various forms. Traditional approaches can be classified into three main categories…",249
Categorizing approaches combining rule‐based andcase‐based reasoning,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-0394.2007.00423.x,J Prentzas,2007,Wiley Online Library,"… the combination of rule-basedreasoning(RBR) andcase-basedreasoning(CBR). The …Rule-based systems solve problems from scratch, whilecase-basedsystems use pre-stored …",214
Case-based reasoning: Business applications.,https://go.gale.com/ps/i.do?id=GALE%7CA15061337&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00010782&p=AONE&sw=w,BP Allen- Communications of the ACM,1994,go.gale.com,"Case-basedreasoning(CBR) is a problem-solving technique based on the retrieval andadaptation of cases, which are episodic descriptions of problems and their associated solutions…",267
Case-based reasoningand its implications for legal expert systems,https://link.springer.com/article/10.1007/BF00114920,KD Ashley- Artificial Intelligence and Law,1992,Springer,"… concerns and alternativereasoningmethodologies. In lieu of a general theory ofcase-basedreasoning, the second part presents five paradigmatic kinds ofCase-BasedReasoningand …",119
R5 model forcase-based reasoning,https://www.sciencedirect.com/science/article/pii/S0950705102000539,G Finnie,2003,Elsevier,"… This paper reviews some existing models ofcase-basedreasoning(CBR) such as the R4 model of CBR and proposes a R 5 model, in which repartition, retrieve, reuse, revise and …",224
Textualcase-based reasoning,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/textual-casebased-reasoning/C2142FB21A2E93C8C9A5443879CF8A63,RO Weber,2005,cambridge.org,…Case-basedreasoning(CBR) consists of comparing a new problem to …case-basedreasoning(TCBR) is a subfield of CBR concerned with research and implementation oncase-based…,159
Qualitativecase-based reasoningand learning,https://www.sciencedirect.com/science/article/pii/S0004370218303424,TPD Homem,2020,Elsevier,"… In this context, the present paper introduces a novel algorithm for QualitativeCase-BasedReasoningand Learning (QCBRL), which is acase-basedreasoningsystem that uses …",62
jcolibri2: A framework for buildingCase-based reasoningsystems,https://www.sciencedirect.com/science/article/pii/S0167642312000664,JA Recio-García,2014,Elsevier,… This paper describes the jcolibri2 framework for buildingCase-basedreasoning(CBR)systems. CBR is a mature subfield of artificial intelligence based on the reuse of previous …,105
Case-based reasoningand instructional design: Using stories to support problem solving,https://link.springer.com/article/10.1007/bf02504994,DH Jonassen,2002,Springer,"… The rationale and means for analyzing, organizing, and presenting stories to support problemsolving are defined bycase-basedreasoning. Problems are solved by retrieving similar …",911
Improving accuracy by combining rule-based andcase-based reasoning,https://www.sciencedirect.com/science/article/pii/0004370295001204,AR Golding,1996,Elsevier,… for combining rule-based andcase-basedreasoning. The architecture is …case-basedreasoning: the same rules that are used for rule-basedreasoningare also used by thecase-based…,159
A taxonomy of similarity mechanisms forcase-based reasoning,https://ieeexplore.ieee.org/abstract/document/4674351/,P Cunningham- IEEE Transactions on Knowledge and Data …,2008,ieeexplore.ieee.org,"… retrieval phase incase-basedreasoning(CBR). In most CBR … In our early work oncase-basedspam filtering, we worked … issues associated withcase-basedclassifiers. Basic …",229
[BOOK][B]Applyingcase-based reasoning: techniques for enterprise systems,https://dl.acm.org/doi/abs/10.5555/286680,I Watson- 1998,1998,dl.acm.org,… Abductivecase-basedreasoning: Research Articles This article introduces abductivecase-basedreasoning(CBR) and attempts to show that abductive CBR and deductive CBR …,1580
Case-based reasoningsystems in the health sciences: a survey of recent trends and developments,https://ieeexplore.ieee.org/abstract/document/5586661/,S Begum,2010,ieeexplore.ieee.org,"The health sciences are, nowadays, one of the major application areas forcase-basedreasoning(CBR). The paper presents a survey of recent medical CBR systems based on a …",309
Learning adaptation knowledge to improvecase-based reasoning,https://www.sciencedirect.com/science/article/pii/S0004370206000798,S Craw,2006,Elsevier,…Case-BasedReasoningsystems retrieve and reuse solutions for previously solved … Theevaluation highlights the incremental nature of adaptation as a furtherreasoningstep after …,198
On the role of abstraction incase-based reasoning,https://link.springer.com/chapter/10.1007/BFb0020600,R Bergmann,1996,Springer,"…case-basedreasoningsystem, called PARIS 1 [3, 4, 2] that uses abstraction forcase-based…PARIS was designed as a generic (ie, domain independent)case-basedplanning system …",157
Medical applications incase-based reasoning,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/medical-applications-in-casebased-reasoning/C2CD9C44FC6AABAF0C15AEDE01915406,A Holt,2005,cambridge.org,… This commentary summarizescase-basedreasoningresearch applied in the medicaldomain. In this commentary the term ‘medical’ is used in an all-encompassing manner. It …,198
Acase-based reasoningframework for workflow model management,https://www.sciencedirect.com/science/article/pii/S0169023X04000060,T Madhusudan,2004,Elsevier,"… In Section 2, we discuss the relevance ofcase-basedreasoningfor workflow modeling andthe recent advances in model management and AI planning. Section 3 provides an overview …",240
[BOOK][B]Case-based reasoning: a concise introduction,https://books.google.com/books?hl=en&lr=&id=_Z5eAQAAQBAJ&oi=fnd&pg=PR13&dq=case-based+reasoning&ots=7Zh0E6aTSj&sig=Ft67-xMUxgwjWemMIgz6HAHN4Ko,B López- 2013,2013,books.google.com,"… in industry and services,case-basedreasoninghas often been forgotten in … tocase-basedreasoningproviding the essential building blocks for the designing ofcase-basedreasoning…",87
Case-based reasoningand law,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/casebased-reasoning-and-law/C28717CB05116C845697BB33F926B784,EL Rissland,2005,cambridge.org,"A primary research stream that contributed to the birth ofcase-basedreasoning(CBR) wasArtificial Intelligence and Law. Since law is largely about cases, it is a particularly interesting …",123
Energy optimization using acase-based reasoningstrategy,https://www.mdpi.com/1424-8220/18/3/865,A González-Briones,2018,mdpi.com,"… Simulation layer: this layer manages thecase-basedreasoningsystem (CBR). The CBRperforms tasks in four different steps, in order to obtain a workflow that adapts to the conditions …",236
Case-based reasoning-inspired approaches to education,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/casebased-reasoninginspired-approaches-to-education/23CA8631FCB6BD392117180889E3B9F8,JL Kolodner,2005,cambridge.org,… This commentary briefly reviews work on the application ofcase-basedreasoning(CBR)to the design and construction of educational approaches and computer-based teaching …,95
Cooperativecase-based reasoning,https://link.springer.com/chapter/10.1007/3-540-62934-3_49,E Plaza,1996,Springer,… In this paper we will be focused on agents that learn and solve problems usingCase-based…: DistributedCase-basedReasoning(DistCBR) and CollectiveCase-basedReasoning(…,105
[BOOK][B]Soft computing incase based reasoning,https://books.google.com/books?hl=en&lr=&id=Yg8GCAAAQBAJ&oi=fnd&pg=PR16&dq=case-based+reasoning&ots=BNXMGyr_h-&sig=bwDDy65dq9ory4RTuretFdsZaZA,SK Pal,2012,books.google.com,"… were promising to improve humanreasoning, problem solving, … direction is the inclusion ofcasebasedreasoning(CBR). This … This tutorial describes an averagecasebasedreasoning…",168
Explanations andcase-based reasoning: Foundational issues,https://link.springer.com/chapter/10.1007/978-3-540-28631-8_29,TR Roth-Berghofer- European conference oncase-based reasoning,2004,Springer,"…Case-BasedReasoningsystems were never marketed as potential replacement to humanexperts [17], althoughcase-based… on explanations inCase-BasedReasoning. It addresses …",129
A survey oncase-based reasoningin medicine,https://www.academia.edu/download/60298193/Paper_2_-_A_Survey_on_Case_based_Reasoning_in_Medicine20190815-33355-134164f.pdf,N Choudhury,2016,academia.edu,"…Case-BasedReasoning(CBR) is an area of machine … It is defined as a model ofreasoningthat integrates problem … or justify new solutions, andreasoningfrom past events to interpret a …",89
Comparison ofcase-based reasoningand artificial neural networks,https://ascelibrary.org/doi/abs/10.1061/(ASCE)0887-3801(1999)13:3(162),D Arditi,1999,ascelibrary.org,"… Two attempts are reported in the literature that use, respectively,case-basedreasoning(CBR)and artificial neural networks (ANN) to overcome this difficulty. These studies were …",172
Similarity and metrics incase‐based reasoning,https://onlinelibrary.wiley.com/doi/abs/10.1002/int.10021,G Finnie,2002,Wiley Online Library,"… Similarity is a core concept incase‐basedreasoning(CBR), because case base building,case retrieval, and even case adaptation all use similarity or similarity‐basedreasoning. …",135
Systematizing scaffolding for problem-based learning: A view fromcase-based reasoning,https://docs.lib.purdue.edu/ijpbl/vol10/iss1/6/,AA Tawfik,2016,docs.lib.purdue.edu,"… A suitable lens for exploring and explaining the successes and failures of PBL, we believe,iscase-basedreasoning(Kolodner, 1993, 1997; Schank, 1999).Case-basedreasoning(CBR…",117
Knowledge-intensivecase-based reasoningin creek,https://link.springer.com/chapter/10.1007/978-3-540-28631-8_1,A Aamodt- European Conference onCase-Based Reasoning,2004,Springer,"… Cases as data for the computer system is the simplest mode, in which the system does notdocase-basedreasoningas such, but appliescase-basedmethods for case indexing and …",218
"Retrieval, reuse, revision and retention incase-based reasoning",https://www.cambridge.org/core/journals/knowledge-engineering-review/article/retrieval-reuse-revision-and-retention-in-casebased-reasoning/832332507628AE30DB2486FD75651C7A,RL De Mantaras,2005,cambridge.org,…Case-basedreasoning(CBR) is an approach to problem solving that emphasizes the role …of CBR and its relationship to analogicalreasoning. We then review a representative selection …,871
The bayesian case model: A generative approach forcase-based reasoningand prototype classification,https://proceedings.neurips.cc/paper_files/paper/2014/hash/411a58ebfbf82c8aedcb8a00d0d72e88-Abstract.html,B Kim,2014,proceedings.neurips.cc,"… We present the Bayesian Case Model (BCM), a general framework for Bayesiancase-basedreasoning(CBR) and prototype classification and clustering. BCM brings the intuitive power …",422
The utility problem analysed: Acase-based reasoningperspective,https://link.springer.com/chapter/10.1007/BFb0020625,B Smyth,1996,Springer,"… utility problem from acase-basedreasoningperspective, examining …case-basedrouteplanner to demonstrate experimentally how this problem manifests itself incase-basedreasoning…",153
Case‐based reasoningin construction management,https://onlinelibrary.wiley.com/doi/abs/10.1111/0885-9507.00094,NJ Yau,1998,Wiley Online Library,Case‐basedreasoning(CBR) is a highly effective technique in the artificial intelligence (AI)domain capable of solving or providing suggestions for the current problem by storing and …,130
Usingcase-based reasoningin an algorithm portfolio for constraint solving,https://www.academia.edu/download/3459808/cpHydra.pdf,E O'Mahony,2008,academia.edu,"… ” approach by relying oncase-basedreasoning(CBR) to advise … [2], who usecase-basedreasoningto select solution … Our approach usescase-basedreasoningto inform the selection …",292
Modeling bridge deterioration usingcase-based reasoning,https://ascelibrary.org/doi/abs/10.1061/(ASCE)1076-0342(2002)8:3(86),G Morcous,2002,ascelibrary.org,"… Thecase-basedreasoning(CBR) approach could reuse this knowledge efficiently to act as… A new CBR system, calledcase-basedreasoningfor modeling infrastructure deterioration, …",246
"Case-based reasoning–methods, techniques, and applications",https://link.springer.com/chapter/10.1007/978-3-030-33904-3_2,P Perner- Progress in Pattern Recognition,2019,Springer,"… In this paper we have presented our thoughts and work onCase-BasedReasoning. Wepresented the methods, techniques, and applications. More work on CBR can be found in [38]. …",20
Case-based reasoning: an introduction,https://www.sciencedirect.com/science/article/pii/095741749390014W,K Ketler - Expert systems with Applications,1993,Elsevier,"… This article presents an introduction to thecase-basedreasoningprocess, including an example… forcase-basedreasoningare identified, and key concepts incase-basedreasoningare …",106
Deep learning forcase-based reasoningthrough prototypes: A neural network that explains its predictions,https://ojs.aaai.org/index.php/AAAI/article/view/11771,O Li,2018,ojs.aaai.org,"… Our method differs in that we usecase-basedreasoninginstead of extractive reasoning – …Prototype classification is a classical form ofcase-basedreasoning(Kolodner 1992); however, …",723
A review of explanation and explanation incase-based reasoning,https://www.academia.edu/download/30603415/TCD-CS-2003-41.pdf,D Doyle,2003,academia.edu,"… this paper is onCaseBasedReasoning(CBR) in …case-basedapproach, that does notmean that this approach will always be the best. It must be remembered that althoughcasebased…",65
A comparison of kernel methods for instantiatingcase based reasoningsystems,https://www.sciencedirect.com/science/article/pii/S1474034602000083,C Fyfe,2002,Elsevier,"… and instance basedreasoning, Althoughcase-basedreasoningis used as a genericterm in this paper, the typicalcase-basedreasoningmethods have some characteristics that …",166
Normal science: From logic tocase-basedand model-basedreasoning,https://www.academia.edu/download/36553993/Thomas_Kuhn_by_Thomas_Nickles.pdf#page=156,T Nickles- Thomas kuhn,2003,academia.edu,"… by recent developments incase-basedreasoning, schema … need bothcasebasedreasoning(or model-basedreasoning)… dispense with the need forcase-basedor schema-theoretic …",102
[BOOK][B]Successfulcase-based reasoningapplications,https://link.springer.com/content/pdf/10.1007/978-3-642-38736-4.pdf,S Montani,2010,Springer,"… as Process-orientedCase-basedReasoning(PO-CBR) … reuse, and trace-basedreasoning.Such a convergence testifies … who wish to usecase-basedreasoningparadigms. We wish to …",60
The application ofcase-based reasoningin construction management research: An overview,https://www.sciencedirect.com/science/article/pii/S0926580516301777,X Hu,2016,Elsevier,"Case-basedreasoning(CBR) has been widely adopted in construction management (CM)research due to the similar mind-sets of CBR and CM problem solving. However, to date, …",82
Acase-based reasoningsystem for identifying failure mechanisms,https://www.sciencedirect.com/science/article/pii/S0952197699000524,TW Liao,2000,Elsevier,… Bothcase-basedreasoningand rule-basedreasoningare investigated for their potentialapplication. This paper presents acase-basedreasoningsystem for the identification of failure …,118
Case-based reasoningsystem for modeling infrastructure deterioration,https://ascelibrary.org/doi/abs/10.1061/(ASCE)0887-3801(2002)16:2(104),G Morcous,2002,ascelibrary.org,… This paper presents a new CBR system calledcase-basedreasoning for modelinginfrastructure deterioration (CBRMID) that was developed to satisfy the special requirements of …,152
A comparison ofcase-based reasoningapproaches,https://dl.acm.org/doi/abs/10.1145/511446.511482,E Mendes,2002,dl.acm.org,"… We suggest therefore thatcase-basedreasoningis a candidate technique for effortestimation and, with the aid of an automated environment, can be applied to Web hypermedia …",96
Constructing deliberative agents withcase‐based reasoningtechnology,https://onlinelibrary.wiley.com/doi/abs/10.1002/int.10138,JM Corchado,2003,Wiley Online Library,… This article shows how to build deliberative agents using acase-basedreasoning(CBR)system. The proposed methodology facilitates the automation of their construction and provides …,336
Integrating data mining withcase-based reasoningfor chronic diseases prognosis and diagnosis,https://www.sciencedirect.com/science/article/pii/S095741740600042X,MJ Huang,2007,Elsevier,"… Thus, this paper suggests a model of a chronic diseases prognosis and diagnosis systemintegrating data mining (DM) andcase-basedreasoning(CBR). The main processes of the …",275
Hybrid approach usingcase-based reasoningand rule-basedreasoningfor domain independent clinical decision support in ICU,https://www.sciencedirect.com/science/article/pii/S0957417407004502,KA Kumar,2009,Elsevier,"… approach ofcase-basedreasoningand rule-basedreasoning, …Case-basedreasoningusesknowledge in the form of … acase-basedreasoningand rule-basedreasoningbased model …",145
Integratingcase‐basedand rule‐basedreasoningto meet multiple design constraints,https://onlinelibrary.wiley.com/doi/abs/10.1111/0824-7935.00095,CR Marling,1999,Wiley Online Library,… We did this through a systematic study of independentcase-basedreasoning(CBR) andrule-basedreasoning(RBR) systems built to perform the same task. A CBR system solves new …,103
Case-based reasoningsupport for liver disease diagnosis,https://www.sciencedirect.com/science/article/pii/S0933365711000728,CL Chuang - Artificial intelligence in medicine,2011,Elsevier,"… METHODS: The study accordingly integrated thecase-basedreasoning(CBR) modelinto several common classification methods of data mining techniques, including back-…",101
Supporting creative problem solving with acase-based reasoningsystem,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222310112,N Althuizen,2014,Taylor & Francis,"… In this paper, we investigate the use of thecase-basedreasoning(CBr) technology, whichis based on the principle of analogicalreasoning, to aid individuals in solving business …",73
Developingcase-based reasoningapplications using myCBR 3,https://link.springer.com/chapter/10.1007/978-3-642-32986-9_4,K Bach,2012,Springer,… Researching for novelCase-BasedReasoningapproaches requires a test bed where users… The underlying idea ofCase-BasedReasoningis reusing previous cases for solving future …,74
Goal-based scenarios:Case-based reasoningmeets learning by doing,https://web-archive.southampton.ac.uk/cogprints.org/635/1/CBRMeetsLBD_for_Leake.html,RC Schank -Case-based reasoning: Experiences …,1996,web-archive.southampton.ac.uk,… Learning from experiences is the fundamental process ofcase-basedreasoning. Takingcase-basedreasoningseriously as a cognitive model implies that experieces play a …,161
Fuzzy set modelling incase‐based reasoning,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1098-111X(199804)13:4%3C345::AID-INT3%3E3.0.CO;2-N,D Dubois,1998,Wiley Online Library,… It is also an attempt at formalizing the basic patterns ofcase-basedreasoningand decision.Let us first specify howcase-basedreasoningis viewed in this paper. A case is viewed as a n…,149
Case-based reasoningin the care of Alzheimer's disease patients,https://link.springer.com/chapter/10.1007/3-540-44593-5_50,C Marling,2001,Springer,"… The Auguste Project is a collaboration amongcase-basedreasoningresearchers and …The focus of the Auguste Project is to further improve quality and efficiency, throughcase-based…",134
Similarity measures for retrieval incase-based reasoningsystems,https://www.tandfonline.com/doi/abs/10.1080/088395198117730,TW Liao,1998,Taylor & Francis,…Case-basedreasoning(CBR) is one of the emerging paradigms for designing intelligent …Case-basedreasoning(CBR) is one of the emerging paradigms for designing intelligent …,324
Design and implementation of acase-based reasoningsystem for marketing plans,https://www.sciencedirect.com/science/article/pii/S0957417404000892,SW Changchien,2005,Elsevier,"… This paper aims at acase-basedreasoningsystem for marketing plans so that plans canbe represented and stored in the case base, precisely retrieved, disseminated, and adapted to …",148
Acase-based reasoningapproach to cognitive map-driven tacitknowledge management,https://www.sciencedirect.com/science/article/pii/S0957417400000373,JB Noh,2000,Elsevier,"… In this sense, we propose using cognitive map (CM) as a main vehicle of formalizing tacitknowledge, andcase-basedreasoningas a tool for storing CM-driven tacit knowledge in the …",219
