title,url,authors,year,journal,abstract,citations
Imageanalogies,https://dl.acm.org/doi/abs/10.1145/3596711.3596770,A Hertzmann,2023,dl.acm.org,"…Analogyis a basicreasoningprocess, one that we as humans employ quite commonly, and… In this paper, we explore the use ofanalogyas a means for creating complex image filters (…",2432
[BOOK][B]An introduction to legalreasoning,https://books.google.com/books?hl=en&lr=&id=1ahQAAAAQBAJ&oi=fnd&pg=PR5&dq=Analogy+Reasoning&ots=hwagA0qO0c&sig=lTABi-5DCPhLQzb9I_4Qy_Y0BiY,EH Levi,2013,books.google.com,"… in which effective lawyers and creative judges use examples andanalogiesto …reasoningis the principal method by which lawyers argue their cases, andreasoningbyanalogyis thus, …",2975
"[BOOK][B]Analogiesat War: Korea, Munich, Dien Bien Phu, and the Vietnam Decisions of 1965",https://books.google.com/books?hl=en&lr=&id=UufaDwAAQBAJ&oi=fnd&pg=PP9&dq=Analogy+Reasoning&ots=BY4lqLvYyi&sig=fxdo5gL34eK-XhwfOMHuAeDFSps,YF Khong- 2020,2020,books.google.com,… 42 Using the psychology of analogicalreasoningto explain why policymakers do not useanalogieswell leads to implications that are at odds with conventional wisdom. They suggest …,2001
"Enhancing mental models, analogical transfer, and performance in strategic decision making",https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.1979,MS Gary,2012,Wiley Online Library,…Reasoningbyanalogycan be a very powerful source of strategic insights and the results ofthe current study identifying mechanisms that enhance analogical transfer are encouraging. …,184
[BOOK][B]The architecture ofreason: The structure and substance of rationality,https://books.google.com/books?hl=en&lr=&id=teThBwAAQBAJ&oi=fnd&pg=PR13&dq=Analogy+Reasoning&ots=1orzwyA1A6&sig=QY7yUT5jtOnlJ1jqdhoqbUwEisg,R Audi,2001,books.google.com,"… There is also ananalogousprinciple for inductive transmission, where we simply substituteinductive support for entailment. But in that case an additional qualification must be made: …",420
Do humans have two systems to track beliefs and belief-like states?,https://psycnet.apa.org/fulltext/2009-18254-013.html,IA Apperly,2009,psycnet.apa.org,"… There are, of course, a variety of characterizations of the early-developing abilities, andwe describe these briefly to make clear the limits of ouranalogywith beliefreasoning. Some …",1630
Structure mapping inanalogyand similarity.,https://psycnet.apa.org/record/1997-02239-006,D Gentner,1997,psycnet.apa.org,"…analogyinvolve a process of structural alignment and mapping, that is, that similarity islikeanalogy… process as it has been worked out foranalogy. Then, this view is extended to …",3012
The generality of working memory capacity: a latent-variable approach to verbal and visuospatial memory span andreasoning.,https://psycnet.apa.org/record/2004-14313-003,MJ Kane,2004,psycnet.apa.org,"… However, we see noreasonto believe that verbal- or spatial-specific abilities would be …incompleteanalogyand selected the one word or phrase of five that best completed theanalogy. …",2400
"Interaction networks for learning about objects, relations and physics",https://proceedings.neurips.cc/paper_files/paper/2016/hash/3147da8ab4a0437c15ef51a5cc7f2dc4-Abstract.html,P Battaglia,2016,proceedings.neurips.cc,"…reasoningin a way that isanalogousto a simulation, and is implemented using 6 deep neuralnetworks. We evaluate its ability toreason… perform ananalogousform ofreasoningabout …",1809
[BOOK][B]Political theory and international relations,https://books.google.com/books?hl=en&lr=&id=gFoA3gFqGUMC&oi=fnd&pg=PP9&dq=Analogy+Reasoning&ots=R1BxYlLwwU&sig=yPcrPwuuQ1dSqd1F-t94NNQXcX0,CR Beitz,1999,books.google.com,"… of states makes use of theanalogyof states and persons, but … I argue in part two that theanalogyof states and persons is … as outlined provides noreasonfor drawing this conclusion. …",4765
[BOOK][B]Mental models,https://books.google.com/books?hl=en&lr=&id=G8iYAgAAQBAJ&oi=fnd&pg=PP1&dq=Analogy+Reasoning&ots=aOrSTZDzis&sig=EKTvk7O4W7A3e7H0P9iTQ5KLNI8,D Gentner,2014,books.google.com,"… Thereasonthat mental …analogiesare psychologically processed, and then use both protocolanalysis and the results of experimental manipulations to show that differentanalogiesdo …",4016
[BOOK][B]What computers still can't do: A critique of artificialreason,https://books.google.com/books?hl=en&lr=&id=oLtNEAAAQBAJ&oi=fnd&pg=PR9&dq=Analogy+Reasoning&ots=U5ZpjPgwmM&sig=odgYpZSfaGM89i_grFng8frT1vE,HL Dreyfus,1992,books.google.com,… Granted that an intelligent person can seeanalogiesor similarities to what he or she already… tried to understandanalogiesas proportions. A second tradition tracesanalogyback to our …,3944
The role of expertise in solving arithmetic and algebra word problems byanalogy,https://www.sciencedirect.com/science/article/pii/S0166411508608870,LR Novick- Advances in psychology,1992,Elsevier,"… Indeed, whether measured by performance on the types of proportionalanalogiesfound onmental tests or by performance on story problemanalogies, the ability toreasonanalogically …",64
[BOOK][B]Bayesian rationality: The probabilistic approach to humanreasoning,https://books.google.com/books?hl=en&lr=&id=sLetNgiU7ugC&oi=fnd&pg=PR5&dq=Analogy+Reasoning&ots=IpTeKbhvxE&sig=QShbA0lfoJr9qkPC_6ozGbjRdcU,M Oaksford,2007,books.google.com,"… From the point of view of the thesis of this book, logical positivism, as a philosophicalprogramme, seems closelyanalogousto the logicist conception of human cognition that we shall …",1466
The possibility of practicalreason,https://www.journals.uchicago.edu/doi/abs/10.1086/233669,JD Velleman- Ethics,1996,journals.uchicago.edu,… I shall begin by making a digression into the subject of theoreticalreasoning. My hope isthat we can understand reasons for acting byanalogywith reasons for belief.27 The nature of …,1637
TractableReasoningand Efficient Query Answering in Description Logics: TheDL-LiteFamily,https://link.springer.com/article/10.1007/s10817-007-9078-x,D Calvanese,2007,Springer,"… In particular, we look for a property that isanalogousto Lemma 8 for the case of NIs. Noticethat, in this case, even if db(A) satisfies the NIs asserted in the KB K = 〈T , A〉, we have that …",1813
Distributed representations of structure: A theory of analogical access and mapping.,https://psycnet.apa.org/record/1997-04806-001,JE Hummel,1997,psycnet.apa.org,"… Although the evidence is only suggestive, there isreasonto suspect that people aresensitive to differences in the naturalness ofanalogiesthat are not reflected in the operation of …",1595
[BOOK][B]Practicalreasonand norms,https://books.google.com/books?hl=en&lr=&id=KWtCAgAAQBAJ&oi=fnd&pg=PP9&dq=Analogy+Reasoning&ots=g2XpkmV9Oz&sig=8CjSiRS4piMTJOQhMzN-_2OwlVo,J Raz,1999,books.google.com,"… If we feel we understand a person’sreasonwhen given a statement of only a part of thereason, this is because we know the other parts of thereason, or because we are not interested …",3923
[BOOK][B]Culture and practicalreason,https://books.google.com/books?hl=en&lr=&id=gtgnAgAAQBAJ&oi=fnd&pg=PR5&dq=Analogy+Reasoning&ots=xgNzCzBUNL&sig=mNn1so-1W84JMMMuFqu3yBsMi4E,M Sahlins,2013,books.google.com,"… As opposed to all these genera and species of practicalreason, this book poses areasonofanother … For ananalogousprocedure in current ecologicalreasoning, see below, pp. 85-89. …",4986
Flowing waters or teeming crowds: Mental models of electricity,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315802725-7&type=chapterpdf,D Gentner,2014,api.taylorfrancis.com,"… We begin with thisanalogy, and later discuss an alternativeanalogyfor electricity. The …We suspect that onereasonsubjects may be slow to begin using a newanalogyfor an area is …",1857
"… RNA-interference-based immune system in prokaryotes: computational analysis of the predicted enzymatic machinery, functionalanalogieswith eukaryotic RNAi, and …",https://link.springer.com/article/10.1186/1745-6150-1-7,KS Makarova,2006,Springer,"… Specific functionalanalogiesare drawn between several components of CASS andproteins involved in eukaryotic RNAi, including the double-stranded RNA-specific helicase-nuclease …",1745
Chapter 1. Neural-Symbolic Learning andReasoning: A Survey and Interpretation1,https://ebooks.iospress.nl/volumearticle/58841,TR Besold,2021,ebooks.iospress.nl,"… This position does, of course, hinge upon ananalogybetween the structure of computersystems and the structure of the mind-brain. Many would reject thisanalogy. Indeed, the majority …",471
[BOOK][B]Mind: Introduction to cognitive science,https://books.google.com/books?hl=en&lr=&id=gjcR1U2HT7kC&oi=fnd&pg=PP11&dq=Analogy+Reasoning&ots=OnpbAHZKNl&sig=Yfe4zBwVR0Fss9daF4glO-8-4KA,P Thagard- 2005,2005,books.google.com,"… of people solving problems usinganalogies. Our conclusions about how the mind …analogousto mental operations. To complement psychological experiments on deductivereasoning, …",1422
Extending SME to handle large‐scale cognitive modeling,https://onlinelibrary.wiley.com/doi/abs/10.1111/cogs.12377,KD Forbus,2017,Wiley Online Library,"… This paper summarizes what is needed to go beyond modelinganalogyin isolation, on …reasoning. We aim to capture the wayanalogyis used in tasks such as visualreasoning, …",184
Models in science,https://plato.sydney.edu.au/entries/models-science/,R Frigg,2006,plato.sydney.edu.au,… We obtain a more formal notion ofanalogy…analogiesplay an important role in scientificresearch because they give rise to questions and suggest new hypotheses. For thisreason…,1633
The idea of a home: A kind of space,https://www.jstor.org/stable/40970644,M Douglas - Social research,1991,JSTOR,"…analogiesare not mere aids to theory. She would support Mary Hesse's argument againstDuhem thatanalogiesare not adjuncts toreasoningto … For Langer,analogiesare not images; …",1608
[BOOK][B]Argumentation schemes,https://books.google.com/books?hl=en&lr=&id=qc3LCgAAQBAJ&oi=fnd&pg=PP1&dq=Analogy+Reasoning&ots=P8ueapiG_F&sig=UJUs7vol77QFwaX76PZXsHRExXk,D Walton,2008,books.google.com,"…analogy, to previous cases that have already been decided by the courts. Previously, thelogical literature on argument fromanalogy… fromanalogy, as used in legalreasoningin typical …",2611
When and where do we apply what we learn?: A taxonomy for far transfer.,https://psycnet.apa.org/fulltext/2002-01514-006.html,SM Barnett,2002,psycnet.apa.org,"… generalizablereasoningskills transfer toreasoningcontexts … the same benefit from a nearanalogy, which the authors … sense of the nearanalogyas they did for the faranalogy. Also, …",3062
Ananalogybetween various machine-learning techniques for detecting construction materials in digital images,https://www.sciencedirect.com/science/article/pii/S1226798824038200,A Rashidi,2016,Elsevier,"… Thereasonbehind implementing a blockbased approach for recognizing constructionmaterial is that construction material images mostly consist of uniform, connected pixels so it is …",101
"Reasoning, problem solving, and decision processes: The problem space as a fundamental category",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315802961-43/reasoning-problem-solving-decision-processes-problem-space-fundamental-category-allen-newell,A Newell- Attention and performance VIII,2014,taylorfrancis.com,"… Sternberg'sanalogiestask, Restle's Tangled Tale sentence, Wertheimer's parallelograms, …Figure 35.1 is taken from the area ofreasoning.Analogousdiagrams could be found in …",716
Organizational memory,https://journals.aom.org/doi/abs/10.5465/AMR.1991.4278992,JP Walsh,1991,journals.aom.org,"…reasoning. In fact, they classifiedanalogiesaccording to the hold they have on ourreasoning… , decision makers can be blinded by pastanalogies. Ironically, such an awareness of …",5729
Exploring the use of multiple analogical models when teaching and learning chemical equilibrium,https://onlinelibrary.wiley.com/doi/abs/10.1002/tea.20090,AG Harrison,2005,Wiley Online Library,"… balls in a box’’analogyis an extendedanalogyas are several of the equilibriumanalogiesreported in this study. … For thisreason, multipleanalogiesoften are more effective than single …",181
The proactive brain: usinganalogiesand associations to generate predictions,https://www.cell.com/trends/cognitive-sciences/abstract/S1364-6613(07)00129-5,M Bar- Trends in cognitive sciences,2007,cell.com,"… concept ofanalogies, whereby we seek correspondence between a novel input and existingrepresentations in memory (eg ‘what does this look like?’). Finally, theseanalogiesactivate …",1695
On the mode of communication of cholera,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003194651-25/mode-communication-cholera-john-snow,J Snow - British Politics and the Environment in the Long …,2023,taylorfrancis.com,"… There is, however, noreasonto conclude, a priori, that this must be the mode of …Reasoningbyanalogyfrom what is known of other diseases, we ought not to conclude that …",2970
Shallow wateranalogyfor a ballistic field effect transistor: New mechanism of plasma wave generation by dc current,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.71.2465,M Dyakonov,1993,APS,"… Thisanalogyhas profound consequences for understanding … ers may be also understoodusing thisanalogy. In this paper, we … Thereasonfor the instability becomes clearif we consider …",1517
[BOOK][B]Polarity andanalogy: two types of argumentation in early Greek thought,https://books.google.com/books?hl=en&lr=&id=udiMgniEMlQC&oi=fnd&pg=PA1&dq=Analogy+Reasoning&ots=NQAqM0_rPX&sig=PWGKUjKbnvSIidbppCdZekSVQTg,GER Lloyd- 1992,1992,books.google.com,"… awareness of some logical and methodological issues earlier still, for it was in the pre-Platonicperiod that philosophers and scientists first debated the respective merits of 'reason' and '…",1599
[BOOK][B]Measure and category: A survey of theanalogiesbetween topological and measure spaces,https://books.google.com/books?hl=en&lr=&id=Va_aBwAAQBAJ&oi=fnd&pg=PA1&dq=Analogy+Reasoning&ots=rzm9fIyFfA&sig=rCKe8IxqGLq3mxQoLgoNw-lQtzA,JC Oxtoby,2013,books.google.com,"… The category method is illustrated by a variety of typical applications, and theanalogy… (Incidentally,thisreasoningreproduces Borel's own proof of the ""Heine-Borel theorem"" [5, p…",2588
[BOOK][B]On populistreason,https://books.google.com/books?hl=en&lr=&id=_LBBy0DjC4gC&oi=fnd&pg=PR9&dq=Analogy+Reasoning&ots=gQR2n0UJ_H&sig=BAh3PuuhAiP4LaDoG7n8jeyuafY,E Laclau,2005,books.google.com,"… The inferiorreasoningof crowds is based, just as isreasoningof a higher order, on the …are only apparent bonds ofanalogy.... The characteristics of thereasoningof crowds are the …",11127
An online annotation assistant for argument schemes,https://discovery.dundee.ac.uk/en/publications/an-online-annotation-assistant-for-argument-schemes,J Lawrence,2019,discovery.dundee.ac.uk,… includes composite schemes that combine aspects from various schemes into one (egpracticalreasoningfromanalogycombining practicalreasoningand argument fromanalogy). …,30
How to be a moral realist,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203427262-46/moral-realist-richard-boyd,RN Boyd - Contemporary materialism,2002,taylorfrancis.com,… to explain how our moralreasoningstarted out with a …reasoningcan be treated in a fashionanalogousto the scientific realist’s treatment of reflective equilibrium in scientificreasoning. …,1714
The Parieto-Frontal Integration Theory (P-FIT) of intelligence: converging neuroimaging evidence,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/parietofrontal-integration-theory-pfit-of-intelligence-converging-neuroimaging-evidence/175ECF09153B51136C21325465C6A86F,RE Jung,2007,cambridge.org,"… in a distributed network predict individual differences found on intelligence andreasoningtasks. We describe this network as the Parieto-Frontal … First, the regions in which fluidanalogy…",1987
Falling forward: Real optionsreasoningand entrepreneurial failure,https://journals.aom.org/doi/abs/10.5465/amr.1999.1580438,RG McGrath- Academy of Management review,1999,journals.aom.org,"…analogousto the situation with real optionsreasoning, in which some potential upside gainmay be sacrificed in order to capitalize on the option value of having alternatives. By funding …",2343
Geometry and spatialreasoning,https://books.google.com/books?hl=en&lr=&id=N_wnDwAAQBAJ&oi=fnd&pg=PA420&dq=Analogy+Reasoning&ots=zl0BevvGUK&sig=LhXUlljRPG4w-7GjViVdcN7DvIA,DH Clements,1992,books.google.com,"…reasoning, or makinganalogiesbetween worked examples and new problems. Importantly,geometry textbooks assume student facility with such operators and virtually never directly …",2166
[BOOK][B]Metode penelitian hukum: normatif dan empiris,https://books.google.com/books?hl=en&lr=&id=5OZeDwAAQBAJ&oi=fnd&pg=PA1&dq=Analogy+Reasoning&ots=6959cax0jV&sig=4TIwuN6bsZHct4EfJDfX8xSC4BI,SHI Jonaedi Efendi,2018,books.google.com,"… byanalogyhas no definite content or integrity; it denotes an unstable class of disparatereasoning… : “I merely question whetherreasoningbyanalogy, when distinguished from logical …",2032
Archaeology and anthropology–brothers in arms?,https://www.academia.edu/download/32110894/Material_culture_and_other_things.pdf#page=189,F Fahlander- Material culture and other things,2004,academia.edu,"… Her arguments lack logic, as she strongly opposes the use ofanalogieswhen interpreting… Smudge pits and hide smoking: The use ofanalogyin archaeologicalreasoning, American …",65
On two metaphors for learning and the dangers of choosing just one,https://journals.sagepub.com/doi/abs/10.3102/0013189X027002004,A Sfard - Educational researcher,1998,journals.sagepub.com,"This article is a sequel to the conversation on learning initiated by the editors of EducationalResearcher in volume 25, number 4. The author’s first aim is to elicit the metaphors for …",7190
A logic forreasoningabout time and reliability,https://link.springer.com/article/10.1007/BF01211866,H Hansson,1994,Springer,… The formula fl U~p f2 hasanalogousmeaning. PCTL formulas are interpreted over structuresthat are discrete time Markov chains. A specified initial state is associated with the structure…,2002
Design experiments: Theoretical and methodological challenges in creating complex interventions in classroom settings,https://www.tandfonline.com/doi/pdf/10.1207/s15327809jls0202_2,AL Brown - The journal of the learning sciences,1992,Taylor & Francis,"… I believe it is for thisreasonthat the decontextualized approach to …analogyto using deepanalogyto explain mechanisms. They question initially acceptable surfaceanalogies(such as ""…",7956
The empirical case for two systems ofreasoning.,https://psycnet.apa.org/fulltext/1996-01401-001.html,SA Sloman- Psychological bulletin,1996,psycnet.apa.org,Distinctions have been proposed between systems ofreasoningfor centuries. This articledistills properties shared by many of these distinctions and characterizes the resulting systems …,6208
Blending and metaphor,https://www.degruyterbrill.com/document/doi/10.1075/cilt.175.07gra/html,J Grady,2011,degruyterbrill.com,"… GoodReason: If an element appears in the blend, it should have meaning. … SimilarityandAnalogyare relations which play obvious roles in many conceptual integration networks, …",1274
Epistemologically authentic inquiry in schools: A theoretical framework for evaluating inquiry tasks,https://onlinelibrary.wiley.com/doi/abs/10.1002/sce.10001,CA Chinn,2002,Wiley Online Library,"… ofreasoning, models-of-data theory. We argue that inquiry tasks commonly used in schoolsevokereasoning… the processes inside the jar wereanalogousto the processes in the ocean, …",2313
[BOOK][B]Creative model construction in scientists and students,https://link.springer.com/chapter/10.1007/978-1-4020-6712-9_21,JJ Clement- 2008,2008,Springer,"… of nonformalreasoningprocesses, such asanalogiesand … Figure 15.6 details four typesof nonformalreasoningprocesses, … Thesereasoningprocesses are in turn utilized by the …",489
[BOOK][B]A critique of postcolonialreason: Toward a history of the vanishing present,https://books.google.com/books?hl=en&lr=&id=lvMXBAAAQBAJ&oi=fnd&pg=PR7&dq=Analogy+Reasoning&ots=38HGG-pzK3&sig=DSqXZHw16a6kFk40myb1HvskI94,GC Spivak,1999,books.google.com,"… When ""civil legislation"" becomes ananalogyfor a “moral teleology,"" “reasontakes for finalpurpose the furthering of happiness in harmony [Einstimmung] with morality” (CJ 299, 302). As …",10520
On the origin of gravity and the laws of Newton,https://link.springer.com/article/10.1007/JHEP04(2011)029,E Verlinde- Journal of High Energy Physics,2011,Springer,"… We want to mimic thisreasoningnot near a black hole horizon, but in flat nonrelativistic …Thus, motivated by our earlier discussion we define temperatureanalogousto (3.4), namely …",2308
Essays on actions and events,https://www.degruyter.com/document/doi/10.1515/9780773585669-010/pdf?licenseType=restricted,D Davidson,2001,degruyter.com,…reasonI had for what I did is areasonfor it described as a turning on of the light. This requiresus to state more carefully what a primaryreason…analogywith probabilisticreasoning.Con…,8477
[BOOK][B]Argumentation schemes for presumptivereasoning,https://www.taylorfrancis.com/books/mono/10.4324/9780203811160/argumentation-schemes-presumptive-reasoning-douglas-walton,D Walton- 2013,2013,taylorfrancis.com,"… category comprising argument from example,analogyargument, and argument from authority.… Arguments based on example, authority, andanalogyalso fit into Kienpointner's typology. …",1892
"[BOOK][B]Rules, norms, and decisions: On the conditions of practical and legalreasoningin international relations and domestic affairs",https://books.google.com/books?hl=en&lr=&id=EvI2Zv92p90C&oi=fnd&pg=PP11&dq=Analogy+Reasoning&ots=S6Xogkln-4&sig=fWRkGUhKWEMS9xTlgg4nRR4LJFc,FV Kratochwil,1991,books.google.com,"… to be characterized largely in terms of negativeanalogies. A case in point is the conceptu…As inappropriate as this ""domesticanalogy"" may be for understanding international relations…",3221
"[BOOK][B]The body in the mind: The bodily basis of meaning, imagination, andreason",https://books.google.com/books?hl=en&lr=&id=GweMAwAAQBAJ&oi=fnd&pg=PR7&dq=Analogy+Reasoning&ots=3JQ9RQjzt3&sig=6gu58-xKCQtpq9UrTYd3FHmWCbo,M Johnson- 2013,2013,books.google.com,"… , we could neverreasontoward …Reasoningto gain knowledge of our world is seen asrequiring the joining of such concepts into propositions that describe aspects of reality.Reasonis …",18995
Distributed representations of words and phrases and their compositionality,https://proceedings.neurips.cc/paper/2013/hash/9aa42b31882ec039965f3c4923ce901b-Abstract.html,T Mikolov,2013,proceedings.neurips.cc,"… To evaluate the quality of the phrase vectors, we developed a test set of analogicalreasoningtasks that contains both words and phrases. A typicalanalogypair from our test set is “…",47477
The process of entrepreneurial learning: A conceptual framework,https://journals.sagepub.com/doi/abs/10.1111/j.1540-6520.2005.00091.x,D Politis- Entrepreneurship theory and practice,2005,journals.sagepub.com,… Areasonfor this is probably the way in which entrepreneurial learning has been … This moreor less conscious use ofanalogiesmay be reinforced by the fact that entrepreneurs seldom …,2317
Informalreasoningregarding socioscientific issues: A critical review of research,https://onlinelibrary.wiley.com/doi/abs/10.1002/tea.20009,TD Sadler- Journal of Research in Science Teaching: The …,2004,Wiley Online Library,"…analogousto asserting that an individual must have some basic knowledge of heredity tomeaningfully engage in informalreasoning… on informalreasoning, argumentation, and decision …",2395
Solution-liquid-solid growth of crystalline III-V semiconductors: ananalogyto vapor-liquid-solid growth,https://www.science.org/doi/abs/10.1126/science.270.5243.1791,TJ Trentler,1995,science.org,"… This mechanism shows that processesanalogousto vapor-liquid-solid growth can operate …For the samereason, electrons are extracted from C60 at the Ca/MEH-PPV:C60 interface. …",1447
Heterotic and type I string dynamics from eleven dimensions,https://www.taylorfrancis.com/chapters/oa-edit/10.1201/9781482268737-35/heterotic-type-string-dynamics-eleven-dimensions-petr-ho%C5%99ava-edward-witten,P Hořava,1999,taylorfrancis.com,… We have seen a closeanalogybetween the dualities that involve … Thereasonfor thisanalogyis of course that while the Type … It is the purpose of this section to make thisanalogymore …,3223
[BOOK][B]Overcoming law,https://books.google.com/books?hl=en&lr=&id=3B0hm35X2JEC&oi=fnd&pg=PR7&dq=Analogy+Reasoning&ots=PVFo0ZKvXc&sig=lfkZr9ivwlX2xLRPf2NJlNlqUJk,RA Posner,1995,books.google.com,… byreasoningbyanalogy—the standard judicial technique for dealing with novelty—fromexisting cases. We know this because a true-blue formalist like Robert Bork cannot find a single …,2093
[BOOK][B]The nature of sympathy,https://www.taylorfrancis.com/books/mono/10.4324/9781315133348/nature-sympathy-max-scheler,M Scheler,2017,taylorfrancis.com,"…analogy-reasoningwhich may be only rudimentary and semiconscious, but which is yet …conclude that what is going on inside him, isanalogousto what is going on inside us. Scheler …",2249
Cognitive styles—an overview and integration,https://www.tandfonline.com/doi/abs/10.1080/0144341910110301,R Riding,1991,Taylor & Francis,"… a time and to give areasonfor 'choosing' that card. Eachreasonamounted to a hypothesis… score between holist and serialists are on theanalogiestest and the divergence test, that is …",2338
A field guide to foldamers,https://pubs.acs.org/doi/full/10.1021/cr990120t,DJ Hill,2001,ACS Publications,"…Reasoningbyanalogy, the quest for function in synthetic chains should thus be closelytied to the invention of new polymer molecules that acquire ordered solution structures. …",2802
Signification and modes of signifying in thirteenth-century logic: A preface to aquinas onanalogy,https://www.pdcnet.org/medievalpt/content/medievalpt_1991_0001_0000_0039_0067,EJ Ashwort - Medieval Philosophy & Theology,1991,pdcnet.org,"… im... poser, then there was noreasonwhy one could not do the same for the case of mediaterestriction. He also rejected the view that no fur... therreasoncould be sought for restriction: …",97
[BOOK][B]Legalreasoningand legal theory,https://books.google.com/books?hl=en&lr=&id=nIVnAgAAQBAJ&oi=fnd&pg=PP11&dq=Analogy+Reasoning&ots=Sclkdy_V0e&sig=_8Lsoi7haP1mIUyyHffFnCiVKfI,N MacCormick,1994,books.google.com,… I believe this would be specially helpful in relation to argument byanalogy(chapter 7) andwould also make it possible to adjust the present argument somewhat towards points taken by …,2902
Respects for similarity.,https://psycnet.apa.org/fulltext/1993-28260-001.html,DL Medin,1993,psycnet.apa.org,"… Thereasonto restrict similarity to purely … ananalogy, people realize that relational structurewill be the relevant aspect of similarity. We believe that these observations onanalogyare …",1837
Linguistic regularities in continuous space word representations,https://aclanthology.org/N13-1090.pdf,T Mikolov,2013,aclanthology.org,"… This allows vector-orientedreasoningbased on the offsets … by means of syntacticanalogyquestions (provided with this paper… In this model, to answer theanalogyquestion a:b c:d where …",5506
